Guy's Hospital,Thomas Bell (zoologist)
Emydidae,Black-knobbed map turtle
Emydidae,Thomas Bell (zoologist)
Emydidae,William John Swainson
Emydidae,Upper Cretaceous
John Edward Gray,Aldabra giant tortoise
Badnerlied,Baden-Württemberg
Dorset,Late Jurassic
sedimentary rock,geology
Late Jurassic,Ammonite
geologist,geology
Middle Triassic,turtle
Middle Triassic,Baden-Württemberg
Middle Triassic,Ammonite
genus,binomial nomenclature
genus,Black-knobbed map turtle
Hermann Schlegel,Aldabra giant tortoise
Turtle Taxonomy Working Group,turtle
Turtle Taxonomy Working Group,Aldabra giant tortoise
Chelodina,turtle
Black-knobbed map turtle,turtle
Thomas Bell (zoologist),Common box turtle
Thomas Bell (zoologist),Selborne
United States Geological Survey,geology
Common box turtle,turtle
